sinhala,english,transliteration,pos,example_si,example_en
මම මෙහි මුදල් දකින තුරු මම ඔබේ නීතිඥයා නොවේ,i m not your lawyer until i see the money here i have your money,mama mehi mudal dakina thuru mama obe neethignaya nowe,,,
අපි කොහෙද යන්නේ කියලා මොකුත් කියන්න එපා,don t say anything where are we going,api koheda yanne kiyala mokuth kiyanna epa,,,
අපි කොහෙද යන්නේ මම ඔයා එක්ක එනවා,where are we going i m coming with you,api koheda yanne mama oya ekka enawa,,,
මම ඔයා එක්ක එනවා ඔව් ඔව් මාත් එක්ක එන්න,i m coming with you yes yes come with me,mama oya ekka enawa ow ow math ekka enna,,,
ඔයා සිගරට් ගේනවා ෂුවර්,you bring the cigarettes oh sure,oya sigarat genawa shuwar,,,
මායාවන් සහ ව්යාකූලත්වය මම මේ සියල්ලම විය,delusions and paranoia i was all of these,mayawan saha wyakulathwaya mama me siyallama wiya,,,
"ඔබේ කප්පාදුව කුමක්ද, අඩක් සාධාරණ යැයි මම කීවෙමි",what s your cut how much i would say half half is fair,obe kappaduwa kumakda adak sadharana yeyi mama keewemi,,,
"මම කියන්නේ අඩක් සාධාරණයි, කොහෙත්ම නැහැ",i would say half half is fair no no way,mama kiyanne adak sadharanayi kohethma nehe,,,
කිසිම විදිහක් නෑ ඒත් ඒක,no no way but it s,kisima widihak ne eth eka,,,
ඔහු මට කළේ එයයි ඔහු මට සිගරට් දැම්මා ඔබේ පියා ඔබට සිගරට් දැම්මා,that s what he did to me he put cigarettes out on me your father put cigarettes out on you,ohu mata kale eyayi ohu mata sigarat demma obe piya obata sigarat demma,,,
මම පොඩි කාලේ ඔයාගේ තාත්තා මගේ පිටට සිගරට් දැම්මා,your father put cigarettes out on you out on my back when i was a small boy,mama podi kale oyage thaththa mage pitata sigarat demma,,,
හරි ඒක සාධාරණ මිනීමැරුමක් ඔව් නමුත් ඔහු පොලිස්කාරයෙක්,alright that s a justifiable homicide yes but he was a cop,hari eka sadharana mineemerumak ow namuth ohu poliskarayek,,,
ඔබ විවාහක දික්කසාදද?,are you married divorced,oba wiwahaka,,,
මට ඔබව මගේ ස්ථානයට වෙනත් ස්ථානයකට ගෙන යා නොහැක,i can t take you to my place somewhere else,mata obawa mage sthanayata wenath sthanayakata gena ya noheka,,,
ඉතින් මේ පැත්තේ ස්ටේෂන් එක හිස්,so the station is empty yeah this way,ithin me peththe steshan eka his,,,
ඔයා ගණිකාවක් වෙන්න හිතුවා ඔව් මම ඒක සැලකුවා,you considered becoming a prostitute yes i considered it,oya ganikawak wenna hithuwa ow mama eka selakuwa,,,
ඔව් මම හිතුවේ ඔබ මීට පෙර කවදා හෝ උපක්රමවලට යොමු වී ඇති බවයි,yes i considered it did you ever turn tricks before,ow mama hithuwe oba meeta pera kawada ho upakramawalata yomu wee ethi bawayi,,,
ඉතින් ඔයා කවදාවත් ගණිකාවක් වුනේ නෑ ඔයා මොනවද මගෙන් අහන්නේ,so you were never a prostitute what are you asking me,ithin oya kawadawath ganikawak wune ne oya monawada magen ahanne,,,
ඔයා මොනවද මගෙන් අහන්නේ මම ඔයා කවුද කියලා හොයන්න උත්සාහ කරනවා,what are you asking me i m just trying to find out who you are,oya monawada magen ahanne mama oya kawuda kiyala hoyanna uthsaha karanawa,,,
ඔයා හොඳින්ද මට තාම විශ්වාස කරන්න බෑ එඩී ගියා කියලා,are you alright i still can t believe eddie s gone,oya mata thama wishwasa karanna be edee giya kiyala,,,
මට තාම විශ්වාස කරන්න බෑ එඩී ගියා කියලා මට සමාවෙන්න,i still can t believe eddie s gone i m sorry,mata thama wishwasa karanna be edee giya kiyala mata samawenna,,,
ඔහු ඔබේ පෙම්වතා ludwig ඔහු සමලිංගිකයෙක්ද ඔබ ඊර්ෂ්යා කරනවාද?,is he your boyfriend ludwig he s gay are you jealous,ohu obe pemwatha ohu oba eershya karanawada,,,
"කුමක් සිදු වුවද, මම ඔබව හමුවීම සතුටක්, මම ඔබව හමුවීම සතුටක්",no matter what happens i m glad i met you i m glad i met you,kumak sidu wuwada mama obawa hamuweema sathutak mama obawa hamuweema sathutak,,,
කුස්සියේදී මම අපිට ටිකක් හදලා දෙන්නම්,in the kitchen i ll make some for us,kussiyedee mama apita tikak hadala dennam,,,
ඔබට කුස්සියේ කෝපි තිබේද?,do you have coffee in the kitchen,obata kussiye kopi thibeda,,,
ඔබ එය වත් කරන්නේ කුමක්ද?,what are you doing pouring it out,oba eya wath karanne kumakda,,,
මම අපේ ඇඳුම් ටික හදාගෙන එන්නම්,i ll make some for us i ll get my clothes,mama ape endum tika hadagena ennam,,,
මට ඔයාව මාත් එක්ක ඇදගෙන යන්න ඕන නෑ ඩැෆ්නි අයි,i don t want to drag you down with me daphne i,mata oyawa math ekka edagena yanna ona ne ayi,,,
ඔහ් ඔව් හරි මම සමාවෙන්න කෙටියෙන් කියන්න සූදානම්,oh yeah alright i m ready to be briefed excuse us,oh ow hari mama samawenna ketiyen kiyanna sudanam,,,
ඔබත් නාලා ගියාද මොකුත් වුනේ නෑ,a shower did you take one too no nothing happened,obath nala giyada mokuth wune ne,,,
"මම ඇයට නාන්න දුන්නා, ඔබත් එකක් ගත්තාද?",i let her take a shower a shower did you take one too,mama eyata nanna dunna obath ekak gaththada,,,
ප්රධාන මනස මම ඇයව ගත්තොත් හොඳයි නමුත් ජල ක්රීඩා නොවේ,chief mind if i take her okay but not water sports,pradhana manasa mama eyawa gaththoth hondayi namuth jala kreeda nowe,,,
ඔව් හරි මොකක්ද ඒ කොර්ෆින් එක,yeah right what was that korfin,ow hari mokakda e eka,,,
කෝපි මට වොඩ්කා ටොනික් වේගය අඩු කරන්න,coffee for me i gotta slow down vodka tonic,kopi mata wodka tonik wegaya adu karanna,,,
ඔහු ටයිමරයක් සොයන්නේ කුමක්ද?,what s he looking for a timer,ohu soyanne kumakda,,,
හෙට දවල්ට ඔබ සූදානම්,tomorrow at lunch you ready,heta dawalta oba sudanam,,,
ඇය නාන්නේ කොහේද?,where is she takin a bath,eya nanne koheda,,,
ස්නානය කිරීම සහ මම ඩී,takin a bath any i d,snanaya kireema saha mama dee,,,
සමාවෙන්න pd එක විතරක් කමක් නෑ,sorry pd only it s okay,samawenna eka witharak kamak ne,,,
ඔයාට ගැහුවද නෑ මම හොඳින්,are you hit no i m okay,oyata gehuwada ne mama hondin,,,
කොල්ලා එයා ගොඩක් ජනප්රියයි ඔයා මොකද කියන්නේ,boy she s so popular all the sudden what are you saying,kolla eya godak janapriyayi oya mokada kiyanne,,,
"ඔබ දන්නවා එය හරි කුමක්ද, එය කුමක්ද?",you know what that is right no what is it,oba dannawa eya hari kumakda eya kumakda,,,
"ප්රවෘත්ති බලන්න, මට එය මග හැරුණා",watch the news nah i musta missed it,prawththi balanna mata eya maga heruna,,,
ඇයි මම රූපවාහිනිය බලන්නේ නැත්තේ ඇයි?,nah why should you i don t even watch tv,eyi mama rupawahiniya balanne neththe eyi,,,
මම හොඳ හොඳ ප්රශංසනීය රූපවාහිනියක්වත් බලන්නේ නැහැ,i don t even watch tv good good commendable,mama honda honda prashansaneeya balanne nehe,,,
මම ඔබ සමඟ එන්නම් ගින්නක් ඇති නොවේ ඔබට කරන්න දෙයක් නැහැ,i ll come with you there wasn t a fire there ll be nothing for you to do,mama oba samanga ennam ginnak ethi nowe obata karanna deyak nehe,,,
ඔයා මගේ මිනිස්සු පොලිෂ්,you re polish my folks are,oya mage minissu polish,,,
ඔබ පරිවාර සේවයට යන විට ඔබට වඩා හොඳ අදහස් තිබේ,you goin to the escort service you got any better ideas,oba pariwara sewayata yana wita obata wada honda adahas thibe,,,
මගේ කට්ටිය මෙතන ඉන්න,my folks are stay here,mage kattiya methana inna,,,
මම ඔබ සමඟ ගමන් කරන්නේ නම් ඔබට වඩා හොඳ අදහස් තිබේ,you got any better ideas mind if i ride along with you,mama oba samanga gaman karanne nam obata wada honda adahas thibe,,,
මම ඔබ සමඟ ගමන් කරන්නේ නම් මෙය ඔබේ ගින්නට සම්බන්ධ නැත,mind if i ride along with you this has nothing to do with your fire,mama oba samanga gaman karanne nam meya obe ginnata sambandha netha,,,
එකකට වඩා හිස් දෙකක් හොඳයි,two heads better than one,ekakata wada his dekak hondayi,,,
ඔබට පිපාසය මම රාජකාරියේ යෙදී සිටිමි,you thirsty i m on duty,obata pipasaya mama rajakariye yedee sitimi,,,
"ඉතින් මම හොඳයි මම ඇතුලට යන්නම්, ඔබ පිටුපස ආවරණය කරන්න",so am i alright i ll go inside and you cover the back of course,ithin mama hondayi mama ethulata yannam oba pitupasa awaranaya karanna,,,
